Service_Request_Type,Month,Count_,Request_Category,ObjectId
Check the Timing of an Approach,10 - JUL,0,Traffic Signals,292
Install a New Signalized Intersection,10 - JUL,0,Traffic Signals,293
Investigate a Signalized Intersection in Flash,10 - JUL,0,Traffic Signals,294
Replace a Signal Indication that is Not Working,10 - JUL,0,Traffic Signals,295
Traffic Signal Needing Physical Repair,10 - JUL,0,Traffic Signals,296
Basketball Goal on City ROW,11 - AUG,0,Other,297
Bush or Objects Blocking Sight View,11 - AUG,0,Other,298
Dumpster Permit,11 - AUG,0,Other,299
Handicap Parking,11 - AUG,0,Other,300
Change Speed Limit,11 - AUG,0,Traffic Calming,301
Dark Area Near Existing Street Light,11 - AUG,0,Street Lights,302
Install a New Street Light,11 - AUG,0,Street Lights,303
Street Light Out,11 - AUG,0,Street Lights,304
Leaning Light Pole,11 - AUG,0,Street Lights,305
Refresh an Existing Marking,11 - AUG,0,Roadway Marking,306
Add a New Marking,11 - AUG,0,Roadway Marking,307
Remove a Marking,11 - AUG,0,Roadway Marking,308
Replace a Signal Indication that is Not Working,07 - APR,3,Traffic Signals,309
Traffic Signal Needing Physical Repair,07 - APR,5,Traffic Signals,310
Basketball Goal on City ROW,08 - MAY,4,Other,311
Bush or Objects Blocking Sight View,08 - MAY,2,Other,312
Dumpster Permit,08 - MAY,0,Other,313
Handicap Parking,08 - MAY,0,Other,314
Change Speed Limit,08 - MAY,1,Traffic Calming,315
Dark Area Near Existing Street Light,08 - MAY,0,Street Lights,316
Install a New Street Light,08 - MAY,1,Street Lights,317
Street Light Out,08 - MAY,18,Street Lights,318
Leaning Light Pole,08 - MAY,0,Street Lights,319
Refresh an Existing Marking,08 - MAY,1,Roadway Marking,320
Add a New Marking,08 - MAY,1,Roadway Marking,321
Remove a Marking,08 - MAY,0,Roadway Marking,322
Change Sign Type,08 - MAY,0,Street Signs,323
Install Multi-way Stop,08 - MAY,1,Street Signs,324
Install New Sign,08 - MAY,5,Street Signs,325
Neighborhood Watch Sign,08 - MAY,0,Street Signs,326
Repair Existing Sign,08 - MAY,9,Street Signs,327
Replace Missing Sign,08 - MAY,4,Street Signs,328
School Zone Sign,08 - MAY,0,Street Signs,329
Sign Relocation,08 - MAY,0,Street Signs,330
Stop Sign Missing/Damaged,08 - MAY,4,Street Signs,331
Yield Sign Missing/Damaged,08 - MAY,0,Street Signs,332
Traffic Calming Request,08 - MAY,11,Traffic Calming,333
Add a Left Turn Indication at a Signal,08 - MAY,2,Traffic Signals,334
Check a Dark Signalized Intersection,08 - MAY,4,Traffic Signals,335
Check the Timing of an Approach,08 - MAY,18,Traffic Signals,336
Install a New Signalized Intersection,08 - MAY,1,Traffic Signals,337
Investigate a Signalized Intersection in Flash,08 - MAY,7,Traffic Signals,338
Replace a Signal Indication that is Not Working,08 - MAY,0,Traffic Signals,339
Traffic Signal Needing Physical Repair,08 - MAY,1,Traffic Signals,340
Basketball Goal on City ROW,09 - JUN,0,Other,341
Bush or Objects Blocking Sight View,09 - JUN,0,Other,342
Dumpster Permit,09 - JUN,0,Other,343
Handicap Parking,09 - JUN,0,Other,344
Change Speed Limit,09 - JUN,0,Traffic Calming,345
Dark Area Near Existing Street Light,09 - JUN,0,Street Lights,346
Install a New Street Light,09 - JUN,0,Street Lights,347
Street Light Out,09 - JUN,0,Street Lights,348
Leaning Light Pole,09 - JUN,0,Street Lights,349
Refresh an Existing Marking,09 - JUN,0,Roadway Marking,350
Add a New Marking,09 - JUN,0,Roadway Marking,351
Remove a Marking,09 - JUN,0,Roadway Marking,352
Change Sign Type,09 - JUN,0,Street Signs,353
Install Multi-way Stop,09 - JUN,0,Street Signs,354
Install New Sign,09 - JUN,0,Street Signs,355
Neighborhood Watch Sign,09 - JUN,0,Street Signs,356
Repair Existing Sign,09 - JUN,0,Street Signs,357
Replace Missing Sign,09 - JUN,0,Street Signs,358
School Zone Sign,09 - JUN,0,Street Signs,359
Sign Relocation,09 - JUN,0,Street Signs,360
