OBJECTID,Date,Date_X,Date_Y,Type,Current_Year,Previous_Year
1911,04/23,,,Residents,144620,152686
1912,04/23,,,Total,257047,262087
1913,04/24,,,Inbound Commuters,29196,31285
1914,04/24,,,Out-of-Market Visitors,92867,79510
1915,04/24,,,Residents,145048,152583
1916,04/24,,,Total,267111,263378
1917,04/25,,,Inbound Commuters,27321,30445
1918,04/25,,,Out-of-Market Visitors,98329,85805
1919,04/25,,,Residents,141318,151408
1920,04/25,,,Total,266968,267658
1921,04/26,,,Inbound Commuters,14926,26661
1922,04/26,,,Out-of-Market Visitors,92295,92094
1923,04/26,,,Residents,136687,151584
1924,04/26,,,Total,243908,270339
1925,04/27,,,Inbound Commuters,13560,14598
1926,04/27,,,Out-of-Market Visitors,83978,93398
1927,04/27,,,Residents,142798,145284
1928,04/27,,,Total,240336,253280
1929,04/28,,,Inbound Commuters,28201,12279
1930,04/28,,,Out-of-Market Visitors,76894,81382
1931,04/28,,,Residents,144754,151251
1932,04/28,,,Total,249849,244912
1933,04/29,,,Inbound Commuters,30220,29211
1934,04/29,,,Out-of-Market Visitors,85897,77997
1935,04/29,,,Residents,145384,152179
1936,04/29,,,Total,261501,259387
1937,04/30,,,Inbound Commuters,31462,31207
1938,04/30,,,Out-of-Market Visitors,85701,80744
1939,04/30,,,Residents,144181,151020
1940,04/30,,,Total,261344,262971
1941,05/01,,,Inbound Commuters,29837,30213
1942,05/01,,,Out-of-Market Visitors,99076,82280
1943,05/01,,,Residents,143086,150825
1944,05/01,,,Total,271999,263318
1945,05/02,,,Inbound Commuters,26838,30855
1946,05/02,,,Out-of-Market Visitors,113637,98784
1947,05/02,,,Residents,140574,150664
1948,05/02,,,Total,281049,280303
1949,05/03,,,Inbound Commuters,13219,28931
1950,05/03,,,Out-of-Market Visitors,91322,106596
1951,05/03,,,Residents,135647,150980
1952,05/03,,,Total,240188,286507
1953,05/04,,,Inbound Commuters,12704,15485
1954,05/04,,,Out-of-Market Visitors,85332,112399
1955,05/04,,,Residents,141391,145790
1956,05/04,,,Total,239427,273674
1957,05/05,,,Inbound Commuters,29463,12511
1958,05/05,,,Out-of-Market Visitors,84588,91056
1959,05/05,,,Residents,141685,148868
1960,05/05,,,Total,255736,252435
1961,05/06,,,Inbound Commuters,30222,28899
1962,05/06,,,Out-of-Market Visitors,80716,82602
1963,05/06,,,Residents,141867,150624
1964,05/06,,,Total,252805,262125
1965,05/07,,,Inbound Commuters,29419,29657
1966,05/07,,,Out-of-Market Visitors,76507,82351
1967,05/07,,,Residents,143326,148605
1968,05/07,,,Total,249252,260613
1969,05/08,,,Inbound Commuters,29858,30650
1970,05/08,,,Out-of-Market Visitors,84366,87590
1971,05/08,,,Residents,144963,149576
1972,05/08,,,Total,259187,267816
1973,05/09,,,Inbound Commuters,27440,29265
1974,05/09,,,Out-of-Market Visitors,96601,88051
1975,05/09,,,Residents,144191,148819
1976,05/09,,,Total,268232,266135
1977,05/10,,,Inbound Commuters,14040,26383
1978,05/10,,,Out-of-Market Visitors,95164,103171
1979,05/10,,,Residents,139800,147772
1980,05/10,,,Total,249004,277326
1981,05/11,,,Inbound Commuters,12755,14148
1982,05/11,,,Out-of-Market Visitors,85675,97314
1983,05/11,,,Residents,144414,145475
1984,05/11,,,Total,242844,256937
1985,05/12,,,Inbound Commuters,28802,12396
1986,05/12,,,Out-of-Market Visitors,72152,86205
1987,05/12,,,Residents,142511,147689
1988,05/12,,,Total,243465,246290
1989,05/13,,,Inbound Commuters,28949,27520
1990,05/13,,,Out-of-Market Visitors,75199,64979
1991,05/13,,,Residents,141539,149014
1992,05/13,,,Total,245687,241513
1993,05/14,,,Inbound Commuters,30499,28686
1994,05/14,,,Out-of-Market Visitors,75226,70685
1995,05/14,,,Residents,144094,149701
1996,05/14,,,Total,249819,249072
1997,05/15,,,Inbound Commuters,29487,29296
1998,05/15,,,Out-of-Market Visitors,90907,76391
1999,05/15,,,Residents,144023,151194
2000,05/15,,,Total,264417,256881
2001,05/16,,,Inbound Commuters,26985,29146
2002,05/16,,,Out-of-Market Visitors,96013,91706
2003,05/16,,,Residents,143853,153391
2004,05/16,,,Total,266851,274243
2005,05/17,,,Inbound Commuters,14365,24411
2006,05/17,,,Out-of-Market Visitors,87447,73965
2007,05/17,,,Residents,140471,160629
2008,05/17,,,Total,242283,259005
2009,05/18,,,Inbound Commuters,12816,12984
2010,05/18,,,Out-of-Market Visitors,79183,87648
2011,05/18,,,Residents,144730,152718
2012,05/18,,,Total,236729,253350
2013,05/19,,,Inbound Commuters,28961,11507
2014,05/19,,,Out-of-Market Visitors,79987,73497
2015,05/19,,,Residents,145433,152811
2016,05/19,,,Total,254381,237815
2017,05/20,,,Inbound Commuters,29924,27411
2018,05/20,,,Out-of-Market Visitors,77423,76855
2019,05/20,,,Residents,144845,154097
2020,05/20,,,Total,252192,258363
2021,05/21,,,Inbound Commuters,29576,28311
2022,05/21,,,Out-of-Market Visitors,89168,84461
2023,05/21,,,Residents,145650,154297
2024,05/21,,,Total,264394,267069
2025,05/22,,,Inbound Commuters,29281,28563
2026,05/22,,,Out-of-Market Visitors,92598,84122
2027,05/22,,,Residents,145385,152688
2028,05/22,,,Total,267264,265373
2029,05/23,,,Inbound Commuters,25046,28439
2030,05/23,,,Out-of-Market Visitors,109552,95934
2031,05/23,,,Residents,143346,150632
2032,05/23,,,Total,277944,275005
2033,05/24,,,Inbound Commuters,13113,25055
2034,05/24,,,Out-of-Market Visitors,91250,106884
2035,05/24,,,Residents,134353,149109
2036,05/24,,,Total,238716,281048
2037,05/25,,,Inbound Commuters,11402,11335
2038,05/25,,,Out-of-Market Visitors,84667,100192
2039,05/25,,,Residents,136609,144490
2040,05/25,,,Total,232678,256017
2041,05/26,,,Inbound Commuters,10919,10236
2042,05/26,,,Out-of-Market Visitors,69892,77679
2043,05/26,,,Residents,142241,146699
2044,05/26,,,Total,223052,234614
2045,05/27,,,Inbound Commuters,27246,8532
2046,05/27,,,Out-of-Market Visitors,72261,69905
2047,05/27,,,Residents,145227,152059
2048,05/27,,,Total,244734,230496
2049,05/28,,,Inbound Commuters,28531,27555
2050,05/28,,,Out-of-Market Visitors,76485,79286
2051,05/28,,,Residents,143719,154701
2052,05/28,,,Total,248735,261542
2053,05/29,,,Inbound Commuters,27593,29038
2054,05/29,,,Out-of-Market Visitors,75901,85246
2055,05/29,,,Residents,144372,156728
2056,05/29,,,Total,247866,271012
2057,05/30,,,Inbound Commuters,27012,29299
2058,05/30,,,Out-of-Market Visitors,91831,83697
2059,05/30,,,Residents,143700,153451
2060,05/30,,,Total,262543,266447
2061,05/31,,,Inbound Commuters,13762,26263
2062,05/31,,,Out-of-Market Visitors,100281,103193
2063,05/31,,,Residents,142365,151274
2064,05/31,,,Total,256408,280730
2065,06/01,,,Inbound Commuters,12704,12700
2066,06/01,,,Out-of-Market Visitors,93917,103570
2067,06/01,,,Residents,145954,148526
2068,06/01,,,Total,252575,264796
2069,06/02,,,Inbound Commuters,26376,12094
2070,06/02,,,Out-of-Market Visitors,80646,84206
2071,06/02,,,Residents,145798,152094
2072,06/02,,,Total,252820,248394
2073,06/03,,,Inbound Commuters,28898,26032
2074,06/03,,,Out-of-Market Visitors,80654,84505
2075,06/03,,,Residents,146612,152688
2076,06/03,,,Total,256164,263225
2077,06/04,,,Inbound Commuters,29687,31109
2078,06/04,,,Out-of-Market Visitors,80691,77464
2079,06/04,,,Residents,146243,151132
2080,06/04,,,Total,256621,259705
2081,06/05,,,Inbound Commuters,30160,30875
2082,06/05,,,Out-of-Market Visitors,87996,82268
2083,06/05,,,Residents,145967,152015
2084,06/05,,,Total,264123,265158
2085,06/06,,,Inbound Commuters,27383,31149
2086,06/06,,,Out-of-Market Visitors,100269,93212
2087,06/06,,,Residents,144086,150727
2088,06/06,,,Total,271738,275088
2089,06/07,,,Inbound Commuters,14769,28794
